what,kind,bundleId,bundleVersion,description,time
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: DGE",1336743943070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336743951211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336743955189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336743967587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336743972677
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: DGE",1336743972813
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1336743985240
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336743985318
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1336743985318
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1336743989306
started,bundle,org.eclipse.equinox.p2.director.app,1.0.300.v20111126-0153,"org.eclipse.equinox.p2.director.app",1336743989420
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1336743989479
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1336743989503
started,bundle,org.eclipse.equinox.p2.repository.tools,2.0.100.v20110815-1438,"org.eclipse.equinox.p2.repository.tools",1336743989542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336743989640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336743990954
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336744018105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336744024063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336744042219
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1336744044945
